countrycode,year,Ic_Struc,Ic_Mach,Ic_TraEq,Ic_Other,Ip_Struc,Ip_Mach,Ip_TraEq,Ip_Other,Nc_Struc,Nc_Mach,Nc_TraEq,Nc_Other,Np_Struc,Np_Mach,Np_TraEq,Np_Other,Dc_Struc,Dc_Mach,Dc_TraEq,Dc_Other,Kc_Struc,Kc_Mach,Kc_TraEq,Kc_Other,Kp_Struc,Kp_Mach,Kp_TraEq,Kp_Other,Ksh_Struc,Ksh_Mach,Ksh_TraEq,Ksh_Other
AIA,1979,11,1,1,0,0,1,0,1,129,7,3,0,0,0,0,0,3,1,1,0,,,,,,,,,,,,
AIA,1980,12,1,1,0,0,1,0,1,151,8,4,0,0,0,0,0,3,1,1,0,,,,,,,,,,,,
AIA,1981,15,2,1,0,0,1,0,1,180,9,4,0,0,0,0,1,3,1,1,0,,,,,,,,,,,,
AIA,1982,18,2,1,0,0,1,0,1,223,11,5,0,0,1,0,1,4,1,1,0,,,,,,,,,,,,
AIA,1983,20,2,1,0,0,1,0,1,271,13,6,0,0,1,0,1,5,2,1,0,,,,,,,,,,,,
AIA,1984,21,2,2,0,0,1,0,1,317,14,7,0,0,1,0,1,6,2,2,0,,,,,,,,,,,,
AIA,1985,25,3,2,0,0,1,0,1,370,16,8,0,0,1,0,1,7,2,2,0,,,,,,,,,,,,
AIA,1986,41,4,3,0,0,1,0,1,457,20,11,1,0,1,0,1,9,3,2,0,,,,,,,,,,,,
AIA,1987,56,6,4,0,0,1,0,1,561,25,14,1,0,1,0,1,11,3,3,0,,,,,,,,,,,,
AIA,1988,48,4,3,0,0,1,0,1,643,27,15,1,0,1,0,1,12,4,3,0,,,,,,,,,,,,
AIA,1989,64,6,4,0,1,1,1,1,787,32,18,1,1,1,1,1,15,4,4,0,,,,,,,,,,,,
AIA,1990,69,5,4,0,0,1,0,1,751,29,16,1,0,1,0,1,14,4,3,0,,,,,,,,,,,,
AIA,1991,61,5,3,0,1,2,1,1,985,36,19,1,1,1,1,1,19,5,4,0,,,,,,,,,,,,
AIA,1992,67,5,4,0,0,1,0,1,882,31,17,1,0,1,0,1,17,4,3,0,,,,,,,,,,,,
AIA,1993,57,4,3,0,0,1,0,1,935,30,16,1,0,1,0,1,18,4,3,0,,,,,,,,,,,,
AIA,1994,61,4,3,0,1,1,1,1,1008,31,16,1,1,1,1,1,19,4,3,0,,,,,,,,,,,,
AIA,1995,68,5,3,0,1,1,1,1,1089,32,17,1,1,1,1,1,21,4,4,0,,,,,,,,,,,,
AIA,1996,76,5,4,0,1,1,1,1,1176,34,18,1,1,1,1,1,22,5,4,0,,,,,,,,,,,,
AIA,1997,73,6,5,1,1,1,1,1,1239,35,19,1,1,1,1,1,23,5,4,0,,,,,,,,,,,,
AIA,1998,108,11,6,2,1,1,1,1,1353,40,21,2,1,1,1,1,25,5,4,1,,,,,,,,,,,,
AIA,1999,148,10,7,1,1,1,1,1,1507,44,24,3,1,1,1,1,28,6,5,1,,,,,,,,,,,,
AIA,2000,95,40,26,7,1,1,1,1,1580,74,43,8,1,1,1,1,30,9,7,2,,,,,,,,,,,,
